ID,Nom (FR),Type,Catégories,Région,Latitude,Longitude,Tarif (TND),Accessibilité PMR,Score Qualité,Description (FR),Photos,Horaires
11,Musée el Kobba des arts et costumes traditionels,SITE_TOURISTIQUE,CULTUREL,Sousse,35.8250009,10.6382869,0.0,Non,35,Musée el Kobba des arts et costumes traditionels est un site de type site touristique situé à Sousse.,,{'toujours_ouvert': True}
12,Café Marrakech,RESTAURANT,GASTRONOMIQUE,سوسة,35.8292283,10.6406656,0.0,Non,35,Café Marrakech est un site de type restaurant situé à سوسة.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
13,Mosquée Elizdihar Akouda,SITE_TOURISTIQUE,"RELIGIEUX, CULTUREL",Sousse,35.8707484,10.57102,0.0,Non,30,Mosquée Elizdihar Akouda est un site de type site touristique situé à Sousse.,,{'toujours_ouvert': True}
14,Hôtel Tej Marhaba,HEBERGEMENT,BALNEAIRE,Sousse,35.8405893,10.6257748,0.0,Non,30,Hôtel Tej Marhaba est un site de type hebergement situé à Sousse.,,{'toujours_ouvert': True}
15,Hôtel Palmyra Beach,HEBERGEMENT,BALNEAIRE,Sousse,35.9524859,10.5446382,0.0,Non,30,Hôtel Palmyra Beach est un site de type hebergement situé à Sousse.,,{'toujours_ouvert': True}
16,Plage de Kantaoui,SITE_TOURISTIQUE,BALNEAIRE,Sousse,35.895,10.59,0.0,Non,30,La plage de Kantaoui est une magnifique étendue de sable fin bordant la station balnéaire haut de gamme.,,{'toujours_ouvert': True}
17,Plage de Sousse,SITE_TOURISTIQUE,BALNEAIRE,Sousse,35.83,10.64,0.0,Non,30,"La plage de Sousse s'étend sur plusieurs kilomètres le long de la corniche, idéale pour la baignade et les sports nautiques.",,{'toujours_ouvert': True}
18,Plage Boujaâfar,SITE_TOURISTIQUE,BALNEAIRE,Sousse,35.835,10.645,0.0,Non,30,"La plage Boujaâfar est la plage la plus animée de Sousse, située en plein centre-ville.",,{'toujours_ouvert': True}
19,إقامة شمس للبنات,HEBERGEMENT,"ECOLOGIQUE, AVENTURE",Sousse,35.8056635,10.6172203,0.0,Non,25,إقامة شمس للبنات est un site de type hebergement situé à Sousse.,,{'toujours_ouvert': True}
20,فارس حي رياض سوسه,HEBERGEMENT,"ECOLOGIQUE, AVENTURE",Sousse,35.8020634,10.5995483,0.0,Non,25,فارس حي رياض سوسه est un site de type hebergement situé à Sousse.,,{'toujours_ouvert': True}
