ID,Nom (FR),Type,Catégories,Région,Latitude,Longitude,Tarif (TND),Accessibilité PMR,Score Qualité,Description (FR),Photos,Horaires
11,Borj el Ghazi Mustapha,SITE_TOURISTIQUE,CULTUREL,حومة السوق,33.8838904,10.8604242,0.0,Non,35,Borj el Ghazi Mustapha est un site de type site touristique situé à حومة السوق.,,{'toujours_ouvert': True}
12,Welcome Meridiana,HEBERGEMENT,BALNEAIRE,Medenine,33.8282896,11.0406269,0.0,Non,35,Welcome Meridiana est un site de type hebergement situé à Medenine.,,{'toujours_ouvert': True}
13,Menzelcaja,HEBERGEMENT,BALNEAIRE,Medenine,33.7736377,11.0277246,0.0,Non,35,Menzelcaja est un site de type hebergement situé à Medenine.,,{'toujours_ouvert': True}
14,quartes seasons,HEBERGEMENT,BALNEAIRE,Medenine,33.8430593,10.9937232,0.0,Non,35,quartes seasons est un site de type hebergement situé à Medenine.,,{'toujours_ouvert': True}
15,Havana,RESTAURANT,GASTRONOMIQUE,حومة السوق,33.886417,10.8561454,0.0,Non,35,"Havana est un film américain réalisé par Sydney Pollack, sorti en 1990.",,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
16,Le Lotophage,RESTAURANT,GASTRONOMIQUE,ميدون,33.8095151,10.9905285,0.0,Non,35,Le Lotophage est un site de type restaurant situé à ميدون.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
17,Bach Hamba,RESTAURANT,GASTRONOMIQUE,Midoun,33.8368618,10.992443,0.0,Non,35,Bach Hamba est un site de type restaurant situé à Midoun.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
18,Synagogue La Ghriba,SITE_TOURISTIQUE,"RELIGIEUX, CULTUREL",Medenine,33.812,10.857,0.0,Non,30,"La Ghriba est la plus ancienne synagogue d'Afrique, haut lieu de pèlerinage juif et joyau architectural de Djerba.",,{'toujours_ouvert': True}
19,Parc Djerba Explore,ACTIVITE,AVENTURE,Medenine,33.83,10.92,0.0,Non,30,"Le parc Djerba Explore abrite un village traditionnel, un musée de la crocodile et des animations culturelles.",,{'toujours_ouvert': True}
20,مطار مدنين,SITE_TOURISTIQUE,"AVENTURE, ECOLOGIQUE",Medenine,33.3502349,10.444024,0.0,Non,25,مطار مدنين est un site de type site touristique situé à Medenine.,,{'toujours_ouvert': True}
