ID,Nom (FR),Type,Catégories,Région,Latitude,Longitude,Tarif (TND),Accessibilité PMR,Score Qualité,Description (FR),Photos,Horaires
11,L'auberge de monastir,HEBERGEMENT,BALNEAIRE,Monastir,35.7769191,10.8270269,0.0,Non,30,L'auberge de monastir est un site de type hebergement situé à Monastir.,,{'toujours_ouvert': True}
12,Grande Mosquée de Monastir,SITE_TOURISTIQUE,"RELIGIEUX, CULTUREL",Monastir,35.778,10.825,0.0,Non,30,La Grande Mosquée de Monastir est un édifice religieux historique au cœur de la médina.,,{'toujours_ouvert': True}
13,Plage de Monastir,SITE_TOURISTIQUE,BALNEAIRE,Monastir,35.782,10.84,0.0,Non,30,"La plage de Monastir s'étend le long de la corniche, offrant du sable fin et des eaux claires.",,{'toujours_ouvert': True}
14,Plage de Skanès,SITE_TOURISTIQUE,BALNEAIRE,Monastir,35.79,10.85,0.0,Non,30,"La plage de Skanès est une magnifique étendue bordant les complexes hôteliers, idéale pour la baignade.",,{'toujours_ouvert': True}
15,Plage de Khniss,SITE_TOURISTIQUE,BALNEAIRE,Monastir,35.75,10.81,0.0,Non,30,La plage de Khniss est une plage familiale tranquille au sud de Monastir.,,{'toujours_ouvert': True}
16,Plage de Sahline,SITE_TOURISTIQUE,BALNEAIRE,Monastir,35.7333,10.8,0.0,Non,30,La plage de Sahline est réputée pour son ambiance locale et ses eaux peu profondes.,,{'toujours_ouvert': True}
17,Téboulba,SITE_TOURISTIQUE,BALNEAIRE,Monastir,35.6333,10.95,0.0,Non,30,Téboulba est une ville côtière offrant des plages authentiques et un port de pêche animé.,,{'toujours_ouvert': True}
18,Hacienda,RESTAURANT,GASTRONOMIQUE,Monastir,35.8438618,10.6243373,0.0,Non,30,Hacienda est un site de type restaurant situé à Monastir.,,"{'lundi': '11:00-23:00', 'mardi': '11:00-23:00', 'mercredi': '11:00-23:00', 'jeudi': '11:00-23:00', 'vendredi': '11:00-23:00', 'samedi': '11:00-23:00', 'dimanche': '11:00-23:00'}"
19,Mosquée,SITE_TOURISTIQUE,"RELIGIEUX, CULTUREL",Monastir,35.8281627,10.6281029,0.0,Non,25,Mosquée est un site de type site touristique situé à Monastir.,,{'toujours_ouvert': True}
20,إقامة شمس للبنات,HEBERGEMENT,"ECOLOGIQUE, AVENTURE",Monastir,35.8056635,10.6172203,0.0,Non,25,إقامة شمس للبنات est un site de type hebergement situé à Monastir.,,{'toujours_ouvert': True}
